Date,Open,High,Low,Close,Adj Close,Volume
2016-07-08,24.860001,25.549999,24.020000,25.000000,25.000000,2081200
2016-07-11,26.190001,26.420000,25.930000,26.100000,26.100000,1490300
2016-07-12,26.389999,27.299999,26.389999,27.170000,27.170000,1288900
2016-07-13,27.670000,27.940001,27.000000,27.320000,27.320000,1129000
2016-07-14,27.320000,27.780001,26.120001,26.350000,26.350000,1906000
2016-07-15,26.580000,26.750000,25.290001,25.320000,25.320000,1494600
2016-07-18,25.090000,26.950001,24.320000,26.809999,26.809999,2640800
2016-07-19,26.389999,27.420000,26.270000,27.110001,27.110001,1339900
2016-07-20,27.209999,28.389999,26.969999,27.750000,27.750000,1990200
2016-07-21,27.750000,28.240000,27.750000,28.100000,28.100000,1688200
2016-07-22,28.180000,28.889999,28.070000,28.750000,28.750000,916400
2016-07-25,28.750000,28.799999,28.240000,28.299999,28.299999,793600
2016-07-26,28.360001,29.330000,28.139999,29.080000,29.080000,1170500
2016-07-27,29.090000,29.309999,28.670000,29.180000,29.180000,841300
2016-07-28,29.129999,29.389999,28.610001,29.340000,29.340000,781200
2016-07-29,29.270000,29.840000,28.930000,29.620001,29.620001,1027900
2016-08-01,29.570000,29.840000,29.230000,29.440001,29.440001,1651300
2016-08-02,29.490000,29.629999,27.930000,28.690001,28.690001,1344700
2016-08-03,28.670000,29.209999,28.430000,28.940001,28.940001,1448800
2016-08-04,32.950001,35.720001,31.860001,33.000000,33.000000,9492200
2016-08-05,33.680000,36.939999,33.650002,36.790001,36.790001,5404800
2016-08-08,36.790001,37.939999,36.349998,37.009998,37.009998,2939900
2016-08-09,37.220001,37.250000,36.310001,36.790001,36.790001,2778800
2016-08-10,37.009998,37.009998,35.880001,35.970001,35.970001,1735100
2016-08-11,36.270000,36.790001,35.950001,36.400002,36.400002,1590900
2016-08-12,36.209999,36.290001,35.799999,36.200001,36.200001,1169600
2016-08-15,36.459999,36.919998,35.889999,36.369999,36.369999,2128300
2016-08-16,36.200001,36.520000,35.810001,35.880001,35.880001,1069100
2016-08-17,35.849998,36.060001,35.540001,36.000000,36.000000,1478200
2016-08-18,36.000000,36.110001,35.770000,36.000000,36.000000,1374800
2016-08-19,35.830002,37.090000,35.700001,36.869999,36.869999,1986700
2016-08-22,36.709999,36.840000,36.180000,36.459999,36.459999,1385200
2016-08-23,36.910000,37.299999,36.830002,37.220001,37.220001,1490700
2016-08-24,37.220001,37.700001,36.400002,36.639999,36.639999,1207500
2016-08-25,36.430000,36.650002,35.799999,36.009998,36.009998,1296300
2016-08-26,36.040001,36.689999,35.840000,36.110001,36.110001,1287000
2016-08-29,36.369999,36.700001,35.849998,36.070000,36.070000,1344600
2016-08-30,36.119999,36.369999,35.849998,36.160000,36.160000,803300
2016-08-31,36.000000,36.250000,35.310001,35.799999,35.799999,1028100
2016-09-01,35.910000,36.380001,35.020000,35.930000,35.930000,1111200
2016-09-02,36.180000,36.419998,35.599998,35.779999,35.779999,990200
2016-09-06,35.939999,36.000000,35.369999,35.529999,35.529999,733600
2016-09-07,35.380001,35.700001,35.349998,35.509998,35.509998,814900
2016-09-08,35.450001,36.029999,35.290001,35.939999,35.939999,845600
2016-09-09,35.270000,35.320000,32.939999,32.950001,32.950001,2280200
2016-09-12,32.590000,34.310001,32.410000,33.980000,33.980000,1361000
2016-09-13,33.290001,33.340000,32.150002,32.779999,32.779999,1146400
2016-09-14,32.660000,33.730000,32.410000,33.240002,33.240002,1319100
2016-09-15,33.240002,34.500000,33.230000,34.480000,34.480000,1556200
2016-09-16,34.000000,34.750000,33.820000,34.520000,34.520000,1926500
2016-09-19,34.990002,35.490002,34.369999,34.820000,34.820000,934100
2016-09-20,34.980000,35.060001,34.099998,34.310001,34.310001,1235100
2016-09-21,34.560001,35.759998,34.310001,35.700001,35.700001,1991600
2016-09-22,35.959999,36.349998,35.599998,36.000000,36.000000,1251600
2016-09-23,35.660000,35.970001,35.310001,35.320000,35.320000,661200
2016-09-26,34.930000,35.840000,34.930000,35.090000,35.090000,647900
2016-09-27,34.889999,35.880001,34.880001,35.840000,35.840000,575800
2016-09-28,35.189999,36.900002,35.189999,36.720001,36.720001,977300
2016-09-29,36.529999,37.240002,36.040001,36.270000,36.270000,743500
2016-09-30,36.520000,37.060001,36.209999,36.669998,36.669998,1179500
2016-10-03,35.770000,36.630001,35.450001,36.450001,36.450001,705300
2016-10-04,36.930000,37.150002,36.090000,36.389999,36.389999,1071500
2016-10-05,36.770000,37.250000,36.340000,37.060001,37.060001,1113400
2016-10-06,36.820000,37.080002,36.220001,36.619999,36.619999,584900
2016-10-07,36.740002,36.970001,35.900002,36.610001,36.610001,676300
2016-10-10,37.000000,37.630001,36.970001,37.369999,37.369999,1164900
2016-10-11,37.070000,37.310001,36.340000,36.590000,36.590000,1281900
2016-10-12,36.630001,36.939999,36.160000,36.349998,36.349998,1284400
2016-10-13,35.650002,35.980000,34.560001,34.820000,34.820000,1258200
2016-10-14,34.970001,35.310001,34.189999,34.209999,34.209999,1002400
2016-10-17,33.930000,34.360001,33.310001,34.009998,34.009998,1451700
2016-10-18,34.720001,34.779999,34.080002,34.459999,34.459999,800700
2016-10-19,34.450001,34.840000,34.110001,34.549999,34.549999,574500
2016-10-20,34.250000,34.830002,34.200001,34.470001,34.470001,577000
2016-10-21,33.959999,34.820000,33.820000,34.160000,34.160000,836600
2016-10-24,34.529999,34.990002,34.060001,34.360001,34.360001,644800
2016-10-25,34.439999,34.590000,33.959999,34.270000,34.270000,647100
2016-10-26,33.740002,34.820000,33.740002,34.430000,34.430000,1011200
2016-10-27,34.830002,34.910000,34.020000,34.110001,34.110001,1088600
2016-10-28,34.610001,34.980000,32.599998,32.930000,32.930000,1995100
2016-10-31,33.029999,33.230000,32.740002,32.930000,32.930000,1248700
2016-11-01,33.049999,33.150002,31.680000,32.169998,32.169998,2069700
2016-11-02,33.330002,33.369999,31.740000,32.599998,32.599998,3369100
2016-11-03,34.900002,35.950001,33.900002,34.680000,34.680000,4694800
2016-11-04,34.419998,35.250000,34.009998,34.680000,34.680000,1596500
2016-11-07,35.669998,36.610001,35.430000,36.580002,36.580002,2114100
2016-11-08,36.750000,37.099998,35.790001,36.790001,36.790001,1132800
2016-11-09,35.740002,37.849998,35.500000,36.939999,36.939999,1909800
2016-11-10,37.369999,40.250000,37.279999,39.660000,39.660000,3815300
2016-11-11,39.330002,40.220001,39.200001,40.080002,40.080002,1958200
2016-11-14,40.799999,41.990002,40.740002,41.310001,41.310001,2513100
2016-11-15,41.330002,42.189999,40.869999,41.939999,41.939999,2183400
2016-11-16,41.939999,42.230000,41.549999,42.000000,42.000000,1912300
2016-11-17,42.090000,42.650002,41.889999,42.349998,42.349998,1681700
2016-11-18,42.580002,42.799999,41.889999,42.250000,42.250000,1404700
2016-11-21,42.709999,42.950001,42.029999,42.230000,42.230000,1210600
2016-11-22,42.650002,42.799999,42.049999,42.560001,42.560001,818000
2016-11-23,42.869999,45.770000,42.869999,45.549999,45.549999,2863100
2016-11-25,45.610001,45.830002,44.590000,45.279999,45.279999,807300
2016-11-28,45.279999,45.400002,43.500000,44.150002,44.150002,1431000
2016-11-29,44.119999,44.980000,43.610001,44.230000,44.230000,1061200
2016-11-30,44.869999,45.450001,44.400002,44.529999,44.529999,1288800
2016-12-01,44.700001,45.240002,44.130001,44.889999,44.889999,1358500
2016-12-02,44.849998,45.189999,44.560001,44.959999,44.959999,757700
2016-12-05,45.540001,45.700001,44.520000,44.750000,44.750000,1059200
2016-12-06,44.840000,45.939999,44.400002,45.779999,45.779999,1186100
2016-12-07,45.860001,48.380001,45.790001,48.070000,48.070000,2172300
2016-12-08,48.360001,49.439999,47.349998,49.349998,49.349998,1693600
2016-12-09,49.330002,49.860001,47.750000,48.220001,48.220001,1646100
2016-12-12,48.410000,48.630001,46.500000,47.060001,47.060001,1302300
2016-12-13,47.720001,47.950001,46.209999,47.590000,47.590000,1015800
2016-12-14,47.419998,48.689999,47.139999,47.889999,47.889999,1346500
2016-12-15,47.849998,49.240002,47.520000,47.650002,47.650002,2004500
2016-12-16,47.650002,47.680000,44.660000,45.410000,45.410000,3256500
2016-12-19,44.750000,45.500000,43.320000,43.939999,43.939999,2111000
2016-12-20,44.500000,45.430000,44.389999,44.919998,44.919998,1393800
2016-12-21,44.529999,44.980000,44.200001,44.459999,44.459999,954600
2016-12-22,44.580002,44.939999,43.799999,43.860001,43.860001,639400
2016-12-23,43.759998,44.160000,43.650002,43.990002,43.990002,423100
2016-12-27,43.820000,44.810001,43.820000,44.070000,44.070000,407800
2016-12-28,44.360001,44.360001,43.119999,43.509998,43.509998,564600
2016-12-29,43.580002,43.880001,43.119999,43.480000,43.480000,824400
2016-12-30,43.799999,43.799999,42.910000,43.160000,43.160000,663000
2017-01-03,43.750000,44.830002,42.950001,43.700001,43.700001,998900
2017-01-04,44.770000,45.340000,44.150002,45.139999,45.139999,1420600
2017-01-05,45.060001,45.299999,43.599998,43.709999,43.709999,898600
2017-01-06,44.070000,44.540001,43.450001,43.680000,43.680000,640000
2017-01-09,43.310001,44.020000,42.950001,43.290001,43.290001,841900
2017-01-10,43.279999,43.759998,42.750000,43.650002,43.650002,1455200
2017-01-11,43.650002,44.070000,43.419998,43.919998,43.919998,941300
2017-01-12,44.000000,44.250000,43.310001,44.150002,44.150002,770200
